COUNTRY,X1,Date,Total_Case_Country,Total_Death_Country,New_Case_Country,New_Death_Country,Population,Total_Case_Rate,risktaking,Total_Mortality_Rate,New_Mortality_Rate,posrecip,RollingAverage_New_Case_Country,negrecip,RollingAverage_New_Death_Country,altruism,trust,RollingAverage_Total_Mortality_Rate,RollingAverage_New_Mortality_Rate,EIU_Democracy,longitude,C1_School.closing,C1_Flag,C2_Workplace.closing,C2_Flag,C3_Cancel.public.events,C3_Flag,C4_Restrictions.on.gatherings,C4_Flag,C5_Close.public.transport,C5_Flag,C6_Stay.at.home.requirements,C6_Flag,C7_Restrictions.on.internal.movement,C7_Flag,C8_International.travel.controls,E1_Income.support,E1_Flag,E2_Debt.contract.relief,E3_Fiscal.measures,H1_Public.information.campaigns,H1_Flag,H2_Testing.policy,H3_Contact.tracing,H4_Emergency.investment.in.healthcare,H5_Investment.in.vaccines,M1_Wildcard,StringencyIndex,LegacyStringencyIndex,Oxford_Cases,Oxford_Deaths,Latitude,Longitude,prop65,propurban,popdensity,driving,walking,transit,arrivals,departures,vul_emp,GNI,health_exp,pollution,EUI_democracy,freedom_house,cellular_sub,milex,milper,irst,pec,cinc,endocrine_deaths,blood_pressure_deaths,respiratory_deaths,govt_accountability,political_stability,govt_effectiveness,regulatory_quality,rule_of_law,control_of_corruption,isocode,patience,wm.trust,New_Case_Rate,RollingAverage_Total_Case_Country,RollingAverage_Total_Death_Country,RollingAverage_Total_Case_Rate,RollingAverage_New_Case_Rate,Total_Mortality_Rate_Growth,respiratory_deaths_rate
Canada,708,2020-04-15,28209,1008,1174,107,37742157,0.000747414,0.183548152,2.67075E-05,2.83503E-06,0.196796298,1295.428571,0.022899142,85.85714286,0.229338437,0.245275036,1.9372E-05,2.27483E-06,56.130366,-106.346771,3,1,3,1,2,1,,,0,,,,2,1,3,,,,0,2,1,3,1,0,0,,63.89,80,27046,903,56.130366,-106.346771,17.232007,81.411,4.075308214,54.67,50.9,18.73,21134000,26033000,10.69100039,44940,4754.947754,6.428383133,9.22,98,89.58002255,18445000,66,13507,343023,0.0091552,,2814,74705,1.52,0.99,1.72,1.67,1.77,1.87,CAN,0.718479455,0.342149435,3.11058E-05,24464.57143,731.1428571,0.000648203,3.43231E-05,0.982524058,0.000659784
Canada,715,2020-04-16,30809,1259,2600,251,37742157,0.000816302,0.183548152,3.33579E-05,6.65039E-06,0.196796298,1450.714286,0.022899142,108,0.229338437,0.245275036,2.22336E-05,2.86152E-06,56.130366,-106.346771,3,1,3,1,2,1,,,0,,,,2,1,3,,,,0,2,1,3,1,0,0,,63.89,80,28364,1010,56.130366,-106.346771,17.232007,81.411,4.075308214,56.14,53.45,18.31,21134000,26033000,10.69100039,44940,4754.947754,6.428383133,9.22,98,89.58002255,18445000,66,13507,343023,0.0091552,,2814,74705,1.52,0.99,1.72,1.67,1.77,1.87,CAN,0.718479455,0.342149435,6.88885E-05,25915.28571,839.1428571,0.00068664,3.84375E-05,0.94636039,0.000659784
Canada,716,2020-04-17,32814,1356,2005,97,37742157,0.000869426,0.183548152,3.5928E-05,2.57007E-06,0.196796298,1536.428571,0.022899142,114.1428571,0.229338437,0.245275036,2.52578E-05,3.02428E-06,56.130366,-106.346771,3,1,3,1,2,1,2,0,0,,2,1,2,1,3,,,,,2,1,,,,,,76.32,80,30081,1193,56.130366,-106.346771,17.232007,81.411,4.075308214,61.27,56.42,18.64,21134000,26033000,10.69100039,44940,4754.947754,6.428383133,9.22,98,89.58002255,18445000,66,13507,343023,0.0091552,,2814,74705,1.52,0.99,1.72,1.67,1.77,1.87,CAN,0.718479455,0.342149435,5.31236E-05,27451.71429,953.2857143,0.000727349,4.07086E-05,0.920495574,0.000659784
Canada,698,2020-04-18,34356,1401,1542,45,37742157,0.000910282,0.183548152,3.71203E-05,1.1923E-06,0.196796298,1577.142857,0.022899142,106.7142857,0.229338437,0.245275036,2.80853E-05,2.82746E-06,56.130366,-106.346771,3,1,3,1,2,1,2,0,0,,2,1,2,1,4,,,,,2,1,,,,,,79.1,82.86,31872,1309,56.130366,-106.346771,17.232007,81.411,4.075308214,54.89,56.27,18.19,21134000,26033000,10.69100039,44940,4754.947754,6.428383133,9.22,98,89.58002255,18445000,66,13507,343023,0.0091552,,2814,74705,1.52,0.99,1.72,1.67,1.77,1.87,CAN,0.718479455,0.342149435,4.08562E-05,29028.85714,1060,0.000769136,4.17873E-05,0.874714305,0.000659784
Canada,711,2020-04-19,35633,1565,1277,164,37742157,0.000944117,0.183548152,4.14656E-05,4.34527E-06,0.196796298,1619.142857,0.022899142,121.5714286,0.229338437,0.245275036,3.13064E-05,3.2211E-06,56.130366,-106.346771,3,1,3,1,2,1,2,0,0,,2,1,2,1,4,,,,,2,1,,,,,,79.1,82.86,33341,1467,56.130366,-106.346771,17.232007,81.411,4.075308214,45.1,44.6,16.95,21134000,26033000,10.69100039,44940,4754.947754,6.428383133,9.22,98,89.58002255,18445000,66,13507,343023,0.0091552,,2814,74705,1.52,0.99,1.72,1.67,1.77,1.87,CAN,0.718479455,0.342149435,3.38348E-05,30648,1181.571429,0.000812036,4.29001E-05,0.846089547,0.000659784
Canada,686,2020-04-20,37658,1727,2025,162,37742157,0.00099777,0.183548152,4.57579E-05,4.29228E-06,0.196796298,1711.142857,0.022899142,135.1428571,0.229338437,0.245275036,3.48871E-05,3.58069E-06,56.130366,-106.346771,3,1,3,1,2,1,2,0,0,,2,1,2,1,4,,,,,2,1,,,,,,79.1,82.86,34777,1580,56.130366,-106.346771,17.232007,81.411,4.075308214,58.27,58.6,20.48,21134000,26033000,10.69100039,44940,4754.947754,6.428383133,9.22,98,89.58002255,18445000,66,13507,343023,0.0091552,,2814,74705,1.52,0.99,1.72,1.67,1.77,1.87,CAN,0.718479455,0.342149435,5.36535E-05,32359.14286,1316.714286,0.000857374,4.53377E-05,0.837007779,0.000659784
Canada,718,2020-04-21,39402,1910,1744,183,37742157,0.001043978,0.183548152,5.06065E-05,4.84869E-06,0.196796298,1766.714286,0.022899142,144.1428571,0.229338437,0.245275036,3.87062E-05,3.81915E-06,56.130366,-106.346771,3,1,3,1,2,1,2,0,0,,2,1,2,1,4,,,,,2,1,,,,,,79.1,82.86,36823,1690,56.130366,-106.346771,17.232007,81.411,4.075308214,57.54,51.99,18.99,21134000,26033000,10.69100039,44940,4754.947754,6.428383133,9.22,98,89.58002255,18445000,66,13507,343023,0.0091552,,2814,74705,1.52,0.99,1.72,1.67,1.77,1.87,CAN,0.718479455,0.342149435,4.62083E-05,34125.85714,1460.857143,0.000904184,4.68101E-05,0.81708544,0.000659784
Canada,717,2020-04-22,41663,2078,2261,168,37742157,0.001103885,0.183548152,5.50578E-05,4.45126E-06,0.196796298,1922,0.022899142,152.8571429,0.229338437,0.245275036,4.27563E-05,4.05004E-06,56.130366,-106.346771,3,1,3,1,2,1,2,0,0,,2,1,2,1,4,,,,,2,1,,,,,,79.1,82.86,38413,1834,56.130366,-106.346771,17.232007,81.411,4.075308214,59.5,53.94,19.29,21134000,26033000,10.69100039,44940,4754.947754,6.428383133,9.22,98,89.58002255,18445000,66,13507,343023,0.0091552,,2814,74705,1.52,0.99,1.72,1.67,1.77,1.87,CAN,0.718479455,0.342149435,5.99065E-05,36047.85714,1613.714286,0.000955109,5.09245E-05,0.791684943,0.000659784
Canada,703,2020-04-23,43299,2241,1636,163,37742157,0.001147232,0.183548152,5.93766E-05,4.31878E-06,0.196796298,1784.285714,0.022899142,140.2857143,0.229338437,0.245275036,4.64732E-05,3.71695E-06,56.130366,-106.346771,3,1,3,1,2,1,2,0,0,,2,1,2,1,4,,,,,2,1,,,,,,79.1,82.86,40179,1974,56.130366,-106.346771,17.232007,81.411,4.075308214,62.07,57.59,19.49,21134000,26033000,10.69100039,44940,4754.947754,6.428383133,9.22,98,89.58002255,18445000,66,13507,343023,0.0091552,,2814,74705,1.52,0.99,1.72,1.67,1.77,1.87,CAN,0.718479455,0.342149435,4.33468E-05,37832.14286,1754,0.001002384,4.72757E-05,0.73727321,0.000659784
Canada,704,2020-04-24,44919,2402,1620,161,37742157,0.001190155,0.183548152,6.36424E-05,4.26579E-06,0.196796298,1729.285714,0.022899142,149.4285714,0.229338437,0.245275036,5.04324E-05,3.9592E-06,56.130366,-106.346771,3,1,3,1,2,1,2,0,0,,2,1,2,1,4,,,,,2,1,,,,,,79.1,82.86,42099,2146,56.130366,-106.346771,17.232007,81.411,4.075308214,69.4,63.55,20.44,21134000,26033000,10.69100039,44940,4754.947754,6.428383133,9.22,98,89.58002255,18445000,66,13507,343023,0.0091552,,2814,74705,1.52,0.99,1.72,1.67,1.77,1.87,CAN,0.718479455,0.342149435,4.29228E-05,39561.42857,1903.428571,0.001048203,4.58184E-05,0.691497386,0.000659784
Canada,614,2020-04-25,46371,2571,1452,169,37742157,0.001228626,0.183548152,6.81201E-05,4.47775E-06,0.196796298,1716.428571,0.022899142,167.1428571,0.229338437,0.245275036,5.4861E-05,4.42855E-06,56.130366,-106.346771,3,1,3,1,2,1,2,0,0,,2,1,2,1,4,,,,,2,1,,,,,,79.1,82.86,43877,2302,56.130366,-106.346771,17.232007,81.411,4.075308214,61.33,63.76,19.56,21134000,26033000,10.69100039,44940,4754.947754,6.428383133,9.22,98,89.58002255,18445000,66,13507,343023,0.0091552,,2814,74705,1.52,0.99,1.72,1.67,1.77,1.87,CAN,0.718479455,0.342149435,3.84716E-05,41277.85714,2070.571429,0.00109368,4.54778E-05,0.669555714,0.000659784
