country,days.to.peak.mortality,peak.or.no.mortality,days.to.peak.case,peak.or.no.case,early.mortality,early.mortality.growth,early.case,early.case.growth,peak.cum.mortality,peak.cum.case,peak.new.mortality,peak.new.case,log.peak.mortality.to.duration,log.peak.case.to.duration,early.stringency.average,early.stringency.sum,log.early.stringency.sum,how.early.stringency,stringency.delta,peak.stringency,early.mobility.walking,prop65,propurban,popdensity,vul_emp,health_exp,GNI,pollution,Latitude,Longitude,EIU_Democracy,stringent
"Korea, South",39,1,41,1,2.34059E-07,2.48490665,7.80196E-08,-0.84729786,3.08177E-06,0.000109637,1.30961E-07,1.21488E-05,-0.406368281,-0.276055688,11.0164,550.82,6.311408077,20,0.934358974,76.85,80.03857143,14.418556,81.459,529.6521036,19.04099965,2283.074707,30600,25.03942539,35.907757,127.766922,8,SI>7.77
Kuwait,21,1,65,0,2.34161E-07,0,1.05373E-05,3.80666249,4.44906E-06,,4.34871E-07,4.652E-05,-0.697534144,-0.153471198,27.45021277,2580.32,7.855668701,72,0.971176471,93.66,,2.550472,100,232.1722222,1.083000006,1529.077637,34290,60.74515954,29.31166,47.481766,3.93,SI>7.77
Latvia,24,1,30,1,1.5905E-06,1.098612289,1.06033E-06,0.693147181,6.89216E-06,0.000236454,6.05904E-07,1.7041E-05,-0.596522685,-0.365996186,,0,,,,-Inf,44.03714286,20.04362,68.142,30.98330653,7.142999858,930.352356,16510,13.42645752,56.879635,24.603189,7.49,
Lithuania,26,1,36,1,1.83669E-06,1.609437912,3.67338E-07,0,1.17548E-05,0.000283217,8.39629E-07,1.97838E-05,-0.538088684,-0.30085137,,0,,,,-Inf,52.22142857,19.705033,67.679,44.53135138,9.152000487,1078.179199,17430,11.85328236,55.169438,23.881275,7.5,
Luxembourg,28,1,28,1,6.39002E-06,1.386294361,3.19501E-06,0.693147181,9.90453E-05,0.002925032,7.07467E-06,0.000264958,-0.423535366,-0.294140731,2.594520548,189.4,5.243861181,9,5.93,82.27,96.11428571,14.183154,90.981,250.0938272,5.61499989,5782.628418,70870,10.3646374,49.815273,6.129583,8.81,SI<7.77
Malaysia,18,1,74,1,4.32553E-07,1.945910149,2.47173E-07,0.133531393,1.76111E-06,0.000127263,1.32414E-07,5.34512E-06,-0.879851764,-0.164044965,15.76052632,1197.8,7.08824182,61,0.966451613,71.03,71.38714286,6.671755,76.036,95.96282149,21.78900099,384.0660706,10590,16.03580871,4.210484,101.975766,7.16,SI>7.77
Malta,3,1,35,1,6.79442E-06,1.098612289,2.71777E-05,1.386294361,6.79442E-06,0.000837978,9.70631E-07,5.07964E-05,-4.615106497,-0.282505314,,0,,,,-Inf,,20.349324,94.612,1511.03125,9.809000198,2585.563965,26480,13.90954337,35.937496,14.375416,7.95,
Mexico,39,1,60,1,4.65359E-08,1.791759469,3.87799E-08,1.609437912,1.11221E-05,0.000129928,7.99974E-07,8.03409E-06,-0.359966322,-0.195530284,0.712820513,55.6,4.018183201,20,1.6242,83.99,99.60714286,7.223685,80.156,64.91462641,26.93200016,494.6776428,9180,20.92111579,23.634501,-102.552784,6.09,SI<7.77
Morocco,31,1,51,1,2.70925E-08,0,5.4185E-08,0.693147181,2.8989E-06,9.33608E-05,2.28351E-07,5.50365E-06,-0.49330261,-0.237452916,0.115072464,7.94,2.071913275,6,1.957555556,96.03,141.0328571,7.012905,62.453,80.72851893,47.53800011,161.0108643,3090,32.59354146,31.791702,-7.09262,5.1,SI<7.77
Netherlands,33,1,47,1,2.91803E-07,1.609437912,2.2177E-06,3.63758616,0.000131603,0.001609583,9.00419E-06,6.56222E-05,-0.352055155,-0.204927576,0,0,,0,1.648604651,74.86,117.4871429,19.196193,91.49,511.4579104,12.65300006,4911.44043,51260,12.03440807,52.132633,5.291266,9.01,SI<7.77
