iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
ABW,GUY,0,0,1,0,0,0,0,0,1458.4059,1458.4059,1463.903271237182,1462.418843296194
ABW,HKG,0,0,1,0,0,0,0,0,16131.13,16131.13,16132.21411484375,16132.2079340763
ABW,HND,0,1,0,0,0,0,0,0,1863.0504,1863.0504,1921.080462194824,1918.601682988272
ABW,HRV,0,0,0,0,0,0,0,0,8716.8682,8716.8682,8740.688606665039,8739.731750457784
ABW,HTI,0,0,0,0,0,0,0,0,709.38782,709.38782,741.5887239700318,739.215986552388
ABW,HUN,0,0,0,0,0,0,0,0,8927.6357,8927.6357,8940.499546118164,8939.645881323244
ABW,IDN,0,0,0,0,1,0,0,0,19240.393,19240.393,19054.84750039062,19043.13894941828
ABW,IND,0,0,1,0,0,0,0,0,14258.173,14258.173,14750.65835332031,14736.86009006465
ABW,IRL,0,0,1,0,0,0,0,0,7174.0166,7174.0166,7123.465475854492,7122.625542990737
ABW,IRN,0,0,0,0,0,0,0,0,11880.18,11880.18,11939.98329299316,11930.09340665034
ABW,IRQ,0,0,0,0,0,0,0,0,11426.339,11426.339,11443.27221936035,11440.45827844876
ABW,ISL,0,0,0,0,0,0,0,0,6827.2202,6827.2202,6857.101180541992,6856.185646608911
ABW,ISR,0,0,1,0,0,0,0,0,10635.04,10635.04,10642.41798286133,10642.38096540049
ABW,ITA,0,0,0,0,0,0,0,0,8480.1328,8480.1328,8427.789374511718,8422.342766953328
ABW,JAM,0,0,1,0,0,0,0,0,938.35114,938.35114,977.9513464141845,976.2388124405184
ABW,JOR,0,0,1,0,0,0,0,0,10744.009,10744.009,10735.0768878418,10735.06266987305
ABW,JPN,0,0,0,0,0,0,0,0,13815.841,13815.841,13944.01008676758,13937.1877646725
ABW,KAZ,0,0,0,0,0,0,0,0,12977.214,12028.064,12272.96734350586,12246.684006544
ABW,KEN,0,0,1,0,0,0,0,0,11887.174,11887.174,11902.33997438965,11899.1980149662
ABW,KGZ,0,0,0,0,0,0,0,0,12891.457,12891.457,12931.07989174805,12930.75169964862
ABW,KHM,0,0,0,0,0,0,0,0,17292.002,17292.002,17255.06311450195,17254.56651082539
